"Plot-Titel: L_55"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 20157054, SEN S/N: 20157054)","RH, % (LGR S/N: 20157054, SEN S/N: 20157054)","TauPkt, °C (LGR S/N: 20157054, SEN S/N: 20157054)","Koppler abgetrennt (LGR S/N: 20157054)","Koppler verbunden (LGR S/N: 20157054)","Host verbunden (LGR S/N: 20157054)","Angehalten (LGR S/N: 20157054)","Dateiende (LGR S/N: 20157054)"
1,07.15.25 12:00:00 AM,25.890,56.864,16.983,Protokolliert,,,,
2,07.15.25 01:00:00 AM,25.841,56.731,16.902,,,,,
3,07.15.25 02:00:00 AM,25.768,56.564,16.788,,,,,
4,07.15.25 03:00:00 AM,25.720,56.557,16.741,,,,,
5,07.15.25 04:00:00 AM,25.671,56.112,16.574,,,,,
6,07.15.25 05:00:00 AM,25.550,56.125,16.465,,,,,
7,07.15.25 06:00:00 AM,25.477,56.115,16.394,,,,,
8,07.15.25 07:00:00 AM,25.453,55.642,16.242,,,,,
9,07.15.25 08:00:00 AM,25.453,53.630,15.679,,,,,
10,07.15.25 09:00:00 AM,25.550,52.538,15.455,,,,,
11,07.15.25 10:00:00 AM,24.968,55.415,15.727,,,,,
12,07.15.25 11:00:00 AM,25.428,52.363,15.291,,,,,
13,07.15.25 12:00:00 PM,25.355,49.076,14.235,,,,,
14,07.15.25 01:00:00 PM,24.847,52.157,14.693,,,,,
15,07.15.25 02:00:00 PM,27.308,43.949,14.323,,,,,
16,07.15.25 03:00:00 PM,26.036,37.789,10.870,,,,,
17,07.15.25 04:00:00 PM,29.740,37.394,13.992,,,,,
18,07.15.25 05:00:00 PM,26.573,37.412,11.193,,,,,
19,07.15.25 06:00:00 PM,26.134,39.618,11.676,,,,,
20,07.15.25 07:00:00 PM,23.857,43.388,11.005,,,,,
21,07.15.25 08:00:00 PM,22.968,44.576,10.604,,,,,
22,07.15.25 09:00:00 PM,21.246,46.322,9.607,,,,,
23,07.15.25 10:00:00 PM,19.651,46.981,8.355,,,,,
24,07.15.25 11:00:00 PM,19.222,49.448,8.707,,,,,
25,07.16.25 12:00:00 AM,18.010,53.542,8.737,,,,,
26,07.16.25 01:00:00 AM,18.366,53.778,9.132,,,,,
27,07.16.25 02:00:00 AM,17.653,55.701,8.973,,,,,
28,07.16.25 03:00:00 AM,16.511,59.708,8.895,,,,,
29,07.16.25 04:00:00 AM,17.320,57.934,9.226,,,,,
30,07.16.25 05:00:00 AM,17.320,57.540,9.128,,,,,
31,07.16.25 06:00:00 AM,17.177,59.333,9.433,,,,,
32,07.16.25 07:00:00 AM,18.129,59.272,10.315,,,,,
33,07.16.25 08:00:00 AM,19.603,57.829,11.344,,,,,
34,07.16.25 09:00:00 AM,21.223,52.380,11.400,,,,,
35,07.16.25 10:00:00 AM,22.154,51.757,12.085,,,,,
36,07.16.25 11:00:00 AM,21.366,59.111,13.323,,,,,
37,07.16.25 12:00:00 PM,22.513,59.229,14.432,,,,,
38,07.16.25 01:00:00 PM,21.151,64.827,14.484,,,,,
39,07.16.25 02:00:00 PM,20.507,77.195,16.426,,,,,
40,07.16.25 03:00:00 PM,18.913,86.343,16.474,,,,,
41,07.16.25 04:00:00 PM,22.202,77.055,18.048,,,,,
42,07.16.25 05:00:00 PM,22.800,68.786,16.940,,,,,
43,07.16.25 06:00:00 PM,23.809,60.874,16.065,,,,,
44,07.16.25 07:00:00 PM,19.865,76.806,15.728,,,,,
45,07.16.25 08:00:00 PM,18.937,78.232,15.090,,,,,
46,07.16.25 09:00:00 PM,17.272,77.855,13.398,,,,,
47,07.16.25 10:00:00 PM,16.463,80.616,13.098,,,,,
48,07.16.25 11:00:00 PM,15.270,84.683,12.611,,,,,
49,07.17.25 12:00:00 AM,13.690,89.788,11.845,,,,,
50,07.17.25 01:00:00 AM,14.290,86.021,11.859,,,,,
51,07.17.25 02:00:00 AM,15.079,81.719,11.932,,,,,
52,07.17.25 03:00:00 AM,15.461,78.259,11.706,,,,,
53,07.17.25 04:00:00 AM,15.605,77.394,11.690,,,,,
54,07.17.25 05:00:00 AM,15.509,76.870,11.503,,,,,
55,07.17.25 06:00:00 AM,13.810,83.372,10.960,,,,,
56,07.17.25 07:00:00 AM,14.888,81.045,11.630,,,,,
57,07.17.25 08:00:00 AM,17.368,74.418,12.851,,,,,
