"Plot-Titel: L_77"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 20547441, SEN S/N: 20547441)","RH, % (LGR S/N: 20547441, SEN S/N: 20547441)","TauPkt, °C (LGR S/N: 20547441, SEN S/N: 20547441)","Koppler abgetrennt (LGR S/N: 20547441)","Koppler verbunden (LGR S/N: 20547441)","Host verbunden (LGR S/N: 20547441)","Angehalten (LGR S/N: 20547441)","Dateiende (LGR S/N: 20547441)"
1,07.15.25 12:00:00 AM,25.890,56.801,16.966,Protokolliert,,,,
2,07.15.25 01:00:00 AM,25.793,56.724,16.854,,,,,
3,07.15.25 02:00:00 AM,25.744,56.529,16.756,,,,,
4,07.15.25 03:00:00 AM,25.671,56.519,16.685,,,,,
5,07.15.25 04:00:00 AM,25.623,56.074,16.519,,,,,
6,07.15.25 05:00:00 AM,25.525,56.122,16.441,,,,,
7,07.15.25 06:00:00 AM,25.453,56.111,16.370,,,,,
8,07.15.25 07:00:00 AM,25.428,55.607,16.209,,,,,
9,07.15.25 08:00:00 AM,25.428,53.469,15.610,,,,,
10,07.15.25 09:00:00 AM,25.550,52.380,15.408,,,,,
11,07.15.25 10:00:00 AM,24.750,56.102,15.711,,,,,
12,07.15.25 11:00:00 AM,25.453,51.796,15.147,,,,,
13,07.15.25 12:00:00 PM,25.331,48.817,14.132,,,,,
14,07.15.25 01:00:00 PM,24.992,51.448,14.619,,,,,
15,07.15.25 02:00:00 PM,27.456,42.460,13.924,,,,,
16,07.15.25 03:00:00 PM,26.231,37.112,10.768,,,,,
17,07.15.25 04:00:00 PM,29.865,36.063,13.537,,,,,
18,07.15.25 05:00:00 PM,26.671,35.956,10.674,,,,,
19,07.15.25 06:00:00 PM,25.768,39.052,11.131,,,,,
20,07.15.25 07:00:00 PM,23.857,42.642,10.744,,,,,
21,07.15.25 08:00:00 PM,22.872,44.307,10.427,,,,,
22,07.15.25 09:00:00 PM,21.056,46.808,9.586,,,,,
23,07.15.25 10:00:00 PM,19.460,47.590,8.369,,,,,
24,07.15.25 11:00:00 PM,18.937,50.536,8.761,,,,,
25,07.16.25 12:00:00 AM,17.510,55.466,8.779,,,,,
26,07.16.25 01:00:00 AM,18.176,54.582,9.170,,,,,
27,07.16.25 02:00:00 AM,17.225,57.313,8.982,,,,,
28,07.16.25 03:00:00 AM,16.082,61.613,8.936,,,,,
29,07.16.25 04:00:00 AM,16.892,59.919,9.304,,,,,
30,07.16.25 05:00:00 AM,17.011,59.186,9.241,,,,,
31,07.16.25 06:00:00 AM,17.034,60.603,9.601,,,,,
32,07.16.25 07:00:00 AM,18.129,59.816,10.447,,,,,
33,07.16.25 08:00:00 AM,19.674,57.657,11.367,,,,,
34,07.16.25 09:00:00 AM,21.652,51.719,11.610,,,,,
35,07.16.25 10:00:00 AM,22.345,51.437,12.170,,,,,
36,07.16.25 11:00:00 AM,21.676,57.963,13.324,,,,,
37,07.16.25 12:00:00 PM,23.400,56.804,14.638,,,,,
38,07.16.25 01:00:00 PM,21.270,64.997,14.636,,,,,
39,07.16.25 02:00:00 PM,20.436,77.265,16.370,,,,,
40,07.16.25 03:00:00 PM,19.389,87.246,17.092,,,,,
41,07.16.25 04:00:00 PM,22.154,77.848,18.153,,,,,
42,07.16.25 05:00:00 PM,22.681,69.919,17.069,,,,,
43,07.16.25 06:00:00 PM,23.112,63.290,15.991,,,,,
44,07.16.25 07:00:00 PM,19.651,77.018,15.559,,,,,
45,07.16.25 08:00:00 PM,18.818,80.037,15.300,,,,,
46,07.16.25 09:00:00 PM,17.106,79.027,13.447,,,,,
47,07.16.25 10:00:00 PM,16.344,81.944,13.210,,,,,
48,07.16.25 11:00:00 PM,15.223,85.322,12.668,,,,,
49,07.17.25 12:00:00 AM,13.497,91.106,11.850,,,,,
50,07.17.25 01:00:00 AM,14.385,86.634,12.050,,,,,
51,07.17.25 02:00:00 AM,14.888,83.372,12.020,,,,,
52,07.17.25 03:00:00 AM,15.223,79.820,11.747,,,,,
53,07.17.25 04:00:00 AM,15.438,79.117,11.834,,,,,
54,07.17.25 05:00:00 AM,15.270,78.358,11.537,,,,,
55,07.17.25 06:00:00 AM,13.618,85.030,11.039,,,,,
56,07.17.25 07:00:00 AM,15.151,80.965,11.874,,,,,
57,07.17.25 08:00:00 AM,17.510,73.761,12.863,,,,,
58,07.17.25 09:00:00 AM,20.436,66.492,14.176,,,,,
59,07.17.25 10:00:00 AM,19.151,68.007,13.275,,,,,
60,07.17.25 11:00:00 AM,20.079,66.845,13.912,,,,,
61,07.17.25 12:00:00 PM,21.103,62.140,13.814,,,,,
62,07.17.25 01:00:00 PM,21.772,58.132,13.456,,,,,
63,07.17.25 02:00:00 PM,23.665,52.247,13.625,,,,,
64,07.17.25 03:00:00 PM,24.291,48.268,13.006,,,,,
65,07.17.25 04:00:00 PM,25.453,45.518,13.177,,,,,
66,07.17.25 05:00:00 PM,25.890,42.415,12.497,,,,,
67,07.17.25 06:00:00 PM,26.036,42.301,12.588,,,,,
68,07.17.25 07:00:00 PM,25.866,42.347,12.451,,,,,
69,07.17.25 08:00:00 PM,23.978,45.663,11.883,,,,,
70,07.17.25 09:00:00 PM,22.609,49.926,11.968,,,,,
71,07.17.25 10:00:00 PM,21.342,53.770,11.898,,,,,
72,07.17.25 11:00:00 PM,21.175,54.554,11.957,,,,,
73,07.18.25 12:00:00 AM,18.509,63.868,11.753,,,,,
74,07.18.25 01:00:00 AM,17.701,65.509,11.349,,,,,
75,07.18.25 02:00:00 AM,15.915,71.501,10.880,,,,,
76,07.18.25 03:00:00 AM,16.010,73.151,11.294,,,,,
77,07.18.25 04:00:00 AM,14.026,79.423,10.508,,,,,
78,07.18.25 05:00:00 AM,13.353,82.127,10.307,,,,,
79,07.18.25 06:00:00 AM,12.871,85.581,10.390,,,,,
80,07.18.25 07:00:00 AM,16.344,80.090,12.890,,,,,
81,07.18.25 08:00:00 AM,20.103,67.559,14.090,,,,,
82,07.18.25 09:00:00 AM,22.800,57.549,14.272,,,,,
83,07.18.25 10:00:00 AM,24.726,51.729,14.456,,,,,
84,07.18.25 11:00:00 AM,26.720,46.222,14.565,,,,,
85,07.18.25 12:00:00 PM,26.965,44.138,14.078,,,,,
86,07.18.25 01:00:00 PM,27.628,40.371,13.301,,,,,
87,07.18.25 02:00:00 PM,28.493,40.199,14.009,,,,,
88,07.18.25 03:00:00 PM,27.899,39.141,13.066,,,,,
89,07.18.25 04:00:00 PM,29.389,36.151,13.156,,,,,
90,07.18.25 05:00:00 PM,28.171,38.305,12.974,,,,,
91,07.18.25 06:00:00 PM,29.115,37.733,13.579,,,,,
92,07.18.25 07:00:00 PM,27.653,38.850,12.731,,,,,
93,07.18.25 08:00:00 PM,26.134,41.493,12.381,,,,,
94,07.18.25 09:00:00 PM,22.609,50.179,12.044,,,,,
95,07.18.25 10:00:00 PM,20.365,57.027,11.853,,,,,
96,07.18.25 11:00:00 PM,19.389,60.077,11.698,,,,,
97,07.19.25 12:00:00 AM,18.580,62.356,11.474,,,,,
98,07.19.25 01:00:00 AM,16.844,68.669,11.202,,,,,
99,07.19.25 02:00:00 AM,17.296,68.315,11.562,,,,,
100,07.19.25 03:00:00 AM,16.034,72.699,11.229,,,,,
101,07.19.25 04:00:00 AM,14.792,77.281,10.879,,,,,
102,07.19.25 05:00:00 AM,14.242,81.149,11.015,,,,,
103,07.19.25 06:00:00 AM,13.978,83.763,11.189,,,,,
104,07.19.25 07:00:00 AM,17.701,76.221,13.514,,,,,
105,07.19.25 08:00:00 AM,21.437,64.035,14.575,,,,,
106,07.19.25 09:00:00 AM,24.436,55.494,15.253,,,,,
107,07.19.25 10:00:00 AM,26.426,48.283,14.968,,,,,
108,07.19.25 11:00:00 AM,26.989,45.443,14.549,,,,,
109,07.19.25 12:00:00 PM,27.431,46.503,15.307,,,,,
110,07.19.25 01:00:00 PM,32.227,37.168,16.097,,,,,
111,07.19.25 02:00:00 PM,32.021,34.948,14.939,,,,,
112,07.19.25 03:00:00 PM,32.098,36.040,15.494,,,,,
113,07.19.25 04:00:00 PM,32.098,35.464,15.239,,,,,
114,07.19.25 05:00:00 PM,29.490,44.825,16.605,,,,,
115,07.19.25 06:00:00 PM,27.456,52.546,17.222,,,,,
116,07.19.25 07:00:00 PM,23.809,61.669,16.261,,,,,
117,07.19.25 08:00:00 PM,23.713,63.572,16.628,,,,,
118,07.19.25 09:00:00 PM,22.824,65.174,16.157,,,,,
119,07.19.25 10:00:00 PM,20.007,73.591,15.246,,,,,
120,07.19.25 11:00:00 PM,19.460,76.524,15.281,,,,,
121,07.20.25 12:00:00 AM,18.913,80.646,15.502,,,,,
122,07.20.25 01:00:00 AM,18.889,83.312,15.943,,,,,
123,07.20.25 02:00:00 AM,17.558,87.682,15.352,,,,,
124,07.20.25 03:00:00 AM,16.796,90.102,14.976,,,,,
125,07.20.25 04:00:00 AM,16.272,91.617,14.685,,,,,
126,07.20.25 05:00:00 AM,15.796,92.682,14.368,,,,,
127,07.20.25 06:00:00 AM,15.652,93.796,14.388,,,,,
128,07.20.25 07:00:00 AM,18.129,90.563,16.369,,,,,
129,07.20.25 08:00:00 AM,20.936,79.162,17.211,,,,,
130,07.20.25 09:00:00 AM,24.146,69.447,18.374,,,,,
131,07.20.25 10:00:00 AM,26.012,61.872,18.393,,,,,
132,07.20.25 11:00:00 AM,27.924,55.781,18.585,,,,,
133,07.20.25 12:00:00 PM,29.740,48.606,18.106,,,,,
134,07.20.25 01:00:00 PM,29.215,49.251,17.832,,,,,
135,07.20.25 02:00:00 PM,29.515,46.561,17.224,,,,,
136,07.20.25 03:00:00 PM,30.900,43.738,17.494,,,,,
137,07.20.25 04:00:00 PM,30.900,43.507,17.410,,,,,
138,07.20.25 05:00:00 PM,30.976,43.714,17.554,,,,,
139,07.20.25 06:00:00 PM,25.987,53.421,16.116,,,,,
140,07.20.25 07:00:00 PM,18.557,90.454,16.777,,,,,
141,07.20.25 08:00:00 PM,18.675,93.069,17.294,,,,,
142,07.20.25 09:00:00 PM,18.699,93.737,17.418,,,,,
143,07.20.25 10:00:00 PM,18.295,94.292,17.097,,,,,
144,07.20.25 11:00:00 PM,18.152,95.070,17.068,,,,,
145,07.21.25 12:00:00 AM,18.319,95.846,17.347,,,,,
146,07.21.25 01:00:00 AM,18.271,95.938,17.313,,,,,
147,07.21.25 02:00:00 AM,18.628,95.613,17.622,,,,,
148,07.21.25 03:00:00 AM,18.271,94.786,17.145,,,,,
149,07.21.25 04:00:00 AM,18.224,93.457,16.902,,,,,
150,07.21.25 05:00:00 AM,18.343,90.829,16.623,,,,,
