Daten;Stationen;Meßpunkt;Messwert;Messung;Messeinheit
02-09-2025 13:14:22;Weincampus Neustadt 1 (1423);Hauptstation (17);16;24;
02-09-2025 13:14:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);3.1;m/s
02-09-2025 13:14:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Regen (11);0;mm
02-09-2025 13:14:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.99;m/s
02-09-2025 13:14:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);786.796;W/m^2
02-09-2025 13:14:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);231.807;°
02-09-2025 13:14:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Atmosphärischer Druck (2);996.261;hPa
02-09-2025 13:14:22;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);21.306;V
02-09-2025 13:14:22;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.186;A
02-09-2025 13:14:22;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.544;V
02-09-2025 13:09:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);11.101;°C
02-09-2025 13:09:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);3.3;m/s
02-09-2025 13:09:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);59.532;%
02-09-2025 13:09:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);19.184;°C
02-09-2025 13:09:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.219;°C
02-09-2025 13:09:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);2.15;m/s
02-09-2025 13:09:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);426.622;W/m^2
02-09-2025 13:09:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);231.944;°
02-09-2025 13:09:22;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);22.248;V
02-09-2025 13:09:22;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.218;A
02-09-2025 13:09:22;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.575;V
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Hauptstation (17);16;24;
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);11.589;°C
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);3.1;m/s
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Regen (11);0;mm
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);59.476;%
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);19.694;°C
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.67;°C
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.78;m/s
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);133.358;W/m^2
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);228.077;°
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Hauptstation (17);Atmosphärischer Druck (2);996.396;hPa
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);18.185;V
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.174;A
02-09-2025 13:04:22;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.504;V
02-09-2025 12:59:21;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.552;V
02-09-2025 12:59:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);11.692;°C
02-09-2025 12:59:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);4.2;m/s
02-09-2025 12:59:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);58.543;%
02-09-2025 12:59:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);20.09;°C
02-09-2025 12:59:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.904;°C
02-09-2025 12:59:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);2.24;m/s
02-09-2025 12:59:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);267.253;W/m^2
02-09-2025 12:59:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);226.336;°
02-09-2025 12:59:21;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);19.864;V
02-09-2025 12:59:21;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.194;A
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);59.192;%
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);19.71;°C
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.647;°C
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.693;m/s
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);925.295;W/m^2
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);226.037;°
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Atmosphärischer Druck (2);996.443;hPa
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);21.664;V
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.183;A
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.523;V
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Hauptstation (17);16;24;
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);11.497;°C
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.7;m/s
02-09-2025 12:54:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Regen (11);0;mm
02-09-2025 12:49:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);19.741;°C
02-09-2025 12:49:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.73;°C
02-09-2025 12:49:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.22;m/s
02-09-2025 12:49:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);400.381;W/m^2
02-09-2025 12:49:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);224.568;°
02-09-2025 12:49:21;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);19.38;V
02-09-2025 12:49:21;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.17;A
02-09-2025 12:49:21;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.515;V
02-09-2025 12:49:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);11.636;°C
02-09-2025 12:49:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2;m/s
02-09-2025 12:49:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);59.62;%
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);21.53;V
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.176;A
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.525;V
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Hauptstation (17);16;24;
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);11.919;°C
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.9;m/s
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Regen (11);0;mm
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);61.145;%
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);19.629;°C
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.823;°C
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.443;m/s
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);567.27;W/m^2
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);225.134;°
02-09-2025 12:44:21;Weincampus Neustadt 1 (1423);Hauptstation (17);Atmosphärischer Druck (2);996.459;hPa
02-09-2025 12:44:17;Weincampus Neustadt 1 (1423);Hauptstation (17);0;11250;
02-09-2025 12:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);12.27;°C
02-09-2025 12:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.3;m/s
02-09-2025 12:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);62.545;%
02-09-2025 12:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);19.626;°C
02-09-2025 12:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.998;°C
02-09-2025 12:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.03;m/s
02-09-2025 12:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);298.712;W/m^2
02-09-2025 12:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);222.352;°
02-09-2025 12:39:20;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);21.812;V
02-09-2025 12:39:20;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.234;A
02-09-2025 12:39:20;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.632;V
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);16;24;
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);12.104;°C
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);1.9;m/s
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Regen (11);0;mm
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);61.581;%
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);19.711;°C
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.953;°C
