Daten;Stationen;Meßpunkt;Messwert;Messung;Messeinheit
02-09-2025 13:16:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Windböen (14);0.6;m/s
02-09-2025 13:16:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Windgeschwindigkeit (8);0.03;m/s
02-09-2025 13:16:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Sonnenstrahlung (7);789.712;W/m^2
02-09-2025 13:16:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Wind (3);306.375;°
02-09-2025 13:16:57;Weincampus Neustadt 2 (1424);Power (20);Solarzelle (4);21.378;V
02-09-2025 13:16:57;Weincampus Neustadt 2 (1424);Power (20);Strom (3);-0.052;A
02-09-2025 13:16:57;Weincampus Neustadt 2 (1424);Power (20);Batterie 12 V  (2);13.09;V
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Hauptstation (17);16;24;
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Taupunkt (15);11.614;°C
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Windböen (14);0.5;m/s
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Regen (11);0;mm
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Luftfeuchtigkeit (10);61.091;%
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Lufttemperatur (9);19.283;°C
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Bulbo umido (40);14.504;°C
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Windgeschwindigkeit (8);0.043;m/s
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Sonnenstrahlung (7);815.11;W/m^2
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Wind (3);306.35;°
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Atmosphärischer Druck (2);999.01;hPa
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Power (20);Solarzelle (4);21.882;V
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Power (20);Strom (3);-0.052;A
02-09-2025 13:11:57;Weincampus Neustadt 2 (1424);Power (20);Batterie 12 V  (2);13.141;V
02-09-2025 13:06:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Windböen (14);0.2;m/s
02-09-2025 13:06:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Windgeschwindigkeit (8);0.01;m/s
02-09-2025 13:06:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Sonnenstrahlung (7);126.299;W/m^2
02-09-2025 13:06:57;Weincampus Neustadt 2 (1424);Hauptstation (17);Wind (3);306.362;°
02-09-2025 13:06:57;Weincampus Neustadt 2 (1424);Power (20);Solarzelle (4);20.407;V
