"Plot-Titel:  L_59"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 20157067, SEN S/N: 20157067)","RH, % (LGR S/N: 20157067, SEN S/N: 20157067)","TauPkt, °C (LGR S/N: 20157067, SEN S/N: 20157067)","Koppler abgetrennt (LGR S/N: 20157067)","Koppler verbunden (LGR S/N: 20157067)","Host verbunden (LGR S/N: 20157067)","Angehalten (LGR S/N: 20157067)","Dateiende (LGR S/N: 20157067)"
1,07.15.25 12:00:00 AM,25.890,56.332,16.839,Protokolliert,,,,
2,07.15.25 01:00:00 AM,25.817,56.259,16.751,,,,,
3,07.15.25 02:00:00 AM,25.720,56.150,16.630,,,,,
4,07.15.25 03:00:00 AM,25.695,56.084,16.590,,,,,
5,07.15.25 04:00:00 AM,25.647,55.607,16.413,,,,,
6,07.15.25 05:00:00 AM,25.453,55.830,16.293,,,,,
7,07.15.25 06:00:00 AM,25.380,55.913,16.248,,,,,
8,07.15.25 07:00:00 AM,25.428,55.262,16.114,,,,,
9,07.15.25 08:00:00 AM,25.428,53.122,15.511,,,,,
10,07.15.25 09:00:00 AM,25.550,52.126,15.334,,,,,
11,07.15.25 10:00:00 AM,25.065,54.708,15.622,,,,,
12,07.15.25 11:00:00 AM,25.453,51.606,15.091,,,,,
13,07.15.25 12:00:00 PM,25.404,48.474,14.091,,,,,
14,07.15.25 01:00:00 PM,24.968,51.286,14.549,,,,,
15,07.15.25 02:00:00 PM,27.554,42.733,14.112,,,,,
16,07.15.25 03:00:00 PM,25.939,37.680,10.739,,,,,
17,07.15.25 04:00:00 PM,30.091,36.488,13.920,,,,,
18,07.15.25 05:00:00 PM,26.426,37.264,11.003,,,,,
19,07.15.25 06:00:00 PM,25.647,39.698,11.272,,,,,
20,07.15.25 07:00:00 PM,23.665,43.592,10.901,,,,,
21,07.15.25 08:00:00 PM,22.800,44.878,10.552,,,,,
22,07.15.25 09:00:00 PM,20.793,47.537,9.574,,,,,
23,07.15.25 10:00:00 PM,19.175,48.436,8.363,,,,,
24,07.15.25 11:00:00 PM,18.366,52.232,8.711,,,,,
25,07.16.25 12:00:00 AM,17.153,56.694,8.759,,,,,
26,07.16.25 01:00:00 AM,17.701,56.228,9.153,,,,,
27,07.16.25 02:00:00 AM,16.582,59.659,8.950,,,,,
28,07.16.25 03:00:00 AM,15.509,63.476,8.814,,,,,
29,07.16.25 04:00:00 AM,16.368,62.584,9.429,,,,,
30,07.16.25 05:00:00 AM,16.511,61.206,9.248,,,,,
31,07.16.25 06:00:00 AM,16.987,60.235,9.469,,,,,
32,07.16.25 07:00:00 AM,17.796,61.237,10.470,,,,,
33,07.16.25 08:00:00 AM,19.603,57.952,11.375,,,,,
34,07.16.25 09:00:00 AM,21.915,51.724,11.855,,,,,
35,07.16.25 10:00:00 AM,22.250,50.889,11.922,,,,,
36,07.16.25 11:00:00 AM,22.250,57.373,13.710,,,,,
37,07.16.25 12:00:00 PM,23.905,56.538,15.039,,,,,
38,07.16.25 01:00:00 PM,20.936,65.597,14.454,,,,,
39,07.16.25 02:00:00 PM,20.555,77.119,16.458,,,,,
40,07.16.25 03:00:00 PM,19.222,84.079,16.401,,,,,
41,07.16.25 04:00:00 PM,21.987,74.007,17.243,,,,,
42,07.16.25 05:00:00 PM,23.016,69.241,17.245,,,,,
43,07.16.25 06:00:00 PM,22.944,63.352,15.846,,,,,
44,07.16.25 07:00:00 PM,18.913,77.463,14.925,,,,,
45,07.16.25 08:00:00 PM,18.604,79.008,14.906,,,,,
46,07.16.25 09:00:00 PM,17.177,77.103,13.168,,,,,
47,07.16.25 10:00:00 PM,16.463,80.754,13.122,,,,,
48,07.16.25 11:00:00 PM,15.223,84.482,12.531,,,,,
49,07.17.25 12:00:00 AM,13.522,89.404,11.621,,,,,
50,07.17.25 01:00:00 AM,14.098,86.887,11.806,,,,,
51,07.17.25 02:00:00 AM,13.810,87.326,11.589,,,,,
52,07.17.25 03:00:00 AM,14.936,79.758,11.456,,,,,
53,07.17.25 04:00:00 AM,15.581,77.193,11.631,,,,,
54,07.17.25 05:00:00 AM,14.577,80.976,11.314,,,,,
55,07.17.25 06:00:00 AM,13.112,86.359,10.750,,,,,
56,07.17.25 07:00:00 AM,15.103,80.678,11.778,,,,,
57,07.17.25 08:00:00 AM,17.796,72.554,12.903,,,,,
58,07.17.25 09:00:00 AM,20.793,68.570,14.969,,,,,
59,07.17.25 10:00:00 AM,19.222,69.399,13.637,,,,,
60,07.17.25 11:00:00 AM,20.269,66.493,14.017,,,,,
61,07.17.25 12:00:00 PM,21.533,60.784,13.894,,,,,
62,07.17.25 01:00:00 PM,22.393,57.518,13.882,,,,,
63,07.17.25 02:00:00 PM,23.954,52.098,13.849,,,,,
64,07.17.25 03:00:00 PM,24.339,49.550,13.447,,,,,
65,07.17.25 04:00:00 PM,25.210,45.263,12.871,,,,,
66,07.17.25 05:00:00 PM,26.280,43.047,13.075,,,,,
67,07.17.25 06:00:00 PM,25.623,43.429,12.616,,,,,
68,07.17.25 07:00:00 PM,25.065,44.663,12.536,,,,,
69,07.17.25 08:00:00 PM,23.232,48.356,12.063,,,,,
70,07.17.25 09:00:00 PM,21.867,52.908,12.147,,,,,
71,07.17.25 10:00:00 PM,20.341,56.900,11.798,,,,,
72,07.17.25 11:00:00 PM,20.222,57.526,11.847,,,,,
73,07.18.25 12:00:00 AM,18.343,63.362,11.480,,,,,
74,07.18.25 01:00:00 AM,17.344,66.095,11.136,,,,,
75,07.18.25 02:00:00 AM,16.392,69.196,10.876,,,,,
76,07.18.25 03:00:00 AM,15.724,73.152,11.017,,,,,
77,07.18.25 04:00:00 AM,14.505,77.611,10.658,,,,,
78,07.18.25 05:00:00 AM,14.074,78.576,10.408,,,,,
79,07.18.25 06:00:00 AM,13.666,82.006,10.594,,,,,
80,07.18.25 07:00:00 AM,17.082,78.433,13.317,,,,,
81,07.18.25 08:00:00 AM,20.293,65.902,13.909,,,,,
82,07.18.25 09:00:00 AM,22.513,56.579,13.748,,,,,
83,07.18.25 10:00:00 AM,24.581,51.266,14.185,,,,,
84,07.18.25 11:00:00 AM,27.407,45.721,15.022,,,,,
85,07.18.25 12:00:00 PM,27.579,43.654,14.463,,,,,
86,07.18.25 01:00:00 PM,27.505,42.071,13.827,,,,,
87,07.18.25 02:00:00 PM,27.850,41.088,13.772,,,,,
88,07.18.25 03:00:00 PM,27.554,39.933,13.067,,,,,
89,07.18.25 04:00:00 PM,30.444,36.859,14.390,,,,,
90,07.18.25 05:00:00 PM,28.791,38.101,13.443,,,,,
91,07.18.25 06:00:00 PM,28.245,38.978,13.310,,,,,
92,07.18.25 07:00:00 PM,27.038,40.440,12.799,,,,,
93,07.18.25 08:00:00 PM,25.623,43.070,12.489,,,,,
94,07.18.25 09:00:00 PM,22.298,51.619,12.178,,,,,
95,07.18.25 10:00:00 PM,20.341,57.698,12.003,,,,,
96,07.18.25 11:00:00 PM,19.246,60.266,11.610,,,,,
97,07.19.25 12:00:00 AM,18.390,62.623,11.356,,,,,
98,07.19.25 01:00:00 AM,17.605,66.082,11.383,,,,,
99,07.19.25 02:00:00 AM,17.510,66.624,11.409,,,,,
100,07.19.25 03:00:00 AM,16.630,69.443,11.156,,,,,
101,07.19.25 04:00:00 AM,15.915,72.160,11.010,,,,,
102,07.19.25 05:00:00 AM,15.294,75.842,11.106,,,,,
103,07.19.25 06:00:00 AM,15.127,78.717,11.461,,,,,
104,07.19.25 07:00:00 AM,18.438,73.772,13.762,,,,,
105,07.19.25 08:00:00 AM,21.652,62.805,14.492,,,,,
106,07.19.25 09:00:00 AM,24.605,53.102,14.742,,,,,
107,07.19.25 10:00:00 AM,26.524,48.842,15.234,,,,,
108,07.19.25 11:00:00 AM,26.769,47.133,14.910,,,,,
109,07.19.25 12:00:00 PM,27.333,46.166,15.105,,,,,
110,07.19.25 01:00:00 PM,31.331,38.123,15.706,,,,,
111,07.19.25 02:00:00 PM,32.536,35.879,15.808,,,,,
112,07.19.25 03:00:00 PM,31.459,37.329,15.486,,,,,
113,07.19.25 04:00:00 PM,31.970,37.986,16.215,,,,,
114,07.19.25 05:00:00 PM,29.315,45.950,16.835,,,,,
115,07.19.25 06:00:00 PM,27.751,52.236,17.403,,,,,
116,07.19.25 07:00:00 PM,24.026,60.479,16.171,,,,,
117,07.19.25 08:00:00 PM,23.785,62.733,16.496,,,,,
118,07.19.25 09:00:00 PM,22.753,64.680,15.974,,,,,
119,07.19.25 10:00:00 PM,19.936,73.114,15.082,,,,,
120,07.19.25 11:00:00 PM,19.532,75.595,15.174,,,,,
121,07.20.25 12:00:00 AM,18.675,79.445,15.055,,,,,
122,07.20.25 01:00:00 AM,18.319,83.240,15.370,,,,,
123,07.20.25 02:00:00 AM,17.915,85.210,15.302,,,,,
124,07.20.25 03:00:00 AM,17.058,88.157,14.932,,,,,
125,07.20.25 04:00:00 AM,16.606,89.682,14.722,,,,,
126,07.20.25 05:00:00 AM,16.320,90.544,14.570,,,,,
127,07.20.25 06:00:00 AM,16.225,91.553,14.627,,,,,
128,07.20.25 07:00:00 AM,18.081,87.807,15.889,,,,,
129,07.20.25 08:00:00 AM,20.936,78.252,17.042,,,,,
130,07.20.25 09:00:00 AM,23.905,68.031,17.833,,,,,
131,07.20.25 10:00:00 AM,25.963,62.172,18.421,,,,,
132,07.20.25 11:00:00 AM,27.751,57.454,18.884,,,,,
133,07.20.25 12:00:00 PM,29.840,49.007,18.327,,,,,
134,07.20.25 01:00:00 PM,28.891,50.112,17.806,,,,,
135,07.20.25 02:00:00 PM,28.965,48.151,17.250,,,,,
136,07.20.25 03:00:00 PM,30.520,43.992,17.242,,,,,
137,07.20.25 04:00:00 PM,30.343,45.090,17.472,,,,,
138,07.20.25 05:00:00 PM,30.646,44.829,17.655,,,,,
139,07.20.25 06:00:00 PM,25.987,53.389,16.107,,,,,
140,07.20.25 07:00:00 PM,18.913,90.541,17.145,,,,,
141,07.20.25 08:00:00 PM,19.008,92.196,17.494,,,,,
142,07.20.25 09:00:00 PM,18.913,92.864,17.500,,,,,
143,07.20.25 10:00:00 PM,18.485,93.259,17.133,,,,,
144,07.20.25 11:00:00 PM,18.271,93.627,16.975,,,,,
145,07.21.25 12:00:00 AM,18.247,94.517,17.082,,,,,
146,07.21.25 01:00:00 AM,18.414,94.875,17.301,,,,,
147,07.21.25 02:00:00 AM,18.509,95.083,17.426,,,,,
148,07.21.25 03:00:00 AM,18.081,95.051,16.994,,,,,
149,07.21.25 04:00:00 AM,17.891,94.267,16.690,,,,,
150,07.21.25 05:00:00 AM,18.033,91.020,16.345,,,,,
151,07.21.25 06:00:00 AM,17.843,90.973,16.149,,,,,
152,07.21.25 07:00:00 AM,17.796,89.624,15.893,,,,,
153,07.21.25 08:00:00 AM,17.701,91.124,16.030,,,,,
154,07.21.25 09:00:00 AM,18.414,90.847,16.696,,,,,
155,07.21.25 10:00:00 AM,19.746,82.308,16.610,,,,,
156,07.21.25 11:00:00 AM,19.936,82.238,16.784,,,,,
157,07.21.25 12:00:00 PM,21.103,76.343,16.844,,,,,
158,07.21.25 01:00:00 PM,22.465,70.146,16.910,,,,,
159,07.21.25 02:00:00 PM,23.569,68.627,17.642,,,,,
160,07.21.25 03:00:00 PM,23.352,65.655,16.770,,,,,
161,07.21.25 04:00:00 PM,22.178,70.858,16.784,,,,,
162,07.21.25 05:00:00 PM,17.796,84.169,15.012,,,,,
163,07.21.25 06:00:00 PM,17.677,89.354,15.733,,,,,
164,07.21.25 07:00:00 PM,18.937,83.489,16.020,,,,,
165,07.21.25 08:00:00 PM,18.200,87.862,16.015,,,,,
166,07.21.25 09:00:00 PM,17.320,92.065,15.794,,,,,
167,07.21.25 10:00:00 PM,16.558,93.637,15.268,,,,,
168,07.21.25 11:00:00 PM,16.392,91.938,14.851,,,,,
169,07.22.25 12:00:00 AM,16.820,89.012,14.831,,,,,
170,07.22.25 01:00:00 AM,17.320,87.950,15.159,,,,,
171,07.22.25 02:00:00 AM,17.463,87.146,15.172,,,,,
172,07.22.25 03:00:00 AM,17.106,86.656,14.740,,,,,
173,07.22.25 04:00:00 AM,16.915,86.286,14.493,,,,,
174,07.22.25 05:00:00 AM,15.939,89.466,14.027,,,,,
175,07.22.25 06:00:00 AM,15.605,91.766,14.043,,,,,
176,07.22.25 07:00:00 AM,15.652,93.848,14.395,,,,,
177,07.22.25 08:00:00 AM,16.153,94.890,15.045,,,,,
178,07.22.25 09:00:00 AM,16.630,93.524,15.323,,,,,
179,07.22.25 10:00:00 AM,17.938,86.797,15.585,,,,,
180,07.22.25 11:00:00 AM,19.103,80.687,15.695,,,,,
181,07.22.25 12:00:00 PM,22.776,70.941,17.377,,,,,
182,07.22.25 01:00:00 PM,20.746,85.668,18.169,,,,,
183,07.22.25 02:00:00 PM,22.226,81.701,18.934,,,,,
184,07.22.25 03:00:00 PM,22.824,78.846,18.994,,,,,
185,07.22.25 04:00:00 PM,23.064,69.249,17.293,,,,,
186,07.22.25 05:00:00 PM,22.178,68.614,16.306,,,,,
187,07.22.25 06:00:00 PM,22.130,67.506,16.018,,,,,
188,07.22.25 07:00:00 PM,20.627,71.737,15.471,,,,,
189,07.22.25 08:00:00 PM,19.888,74.173,15.245,,,,,
190,07.22.25 09:00:00 PM,18.937,75.761,14.629,,,,,
191,07.22.25 10:00:00 PM,16.701,82.410,13.640,,,,,
192,07.22.25 11:00:00 PM,16.820,81.109,13.534,,,,,
193,07.23.25 12:00:00 AM,15.223,88.332,13.143,,,,,
194,07.23.25 01:00:00 AM,15.605,88.611,13.564,,,,,
195,07.23.25 02:00:00 AM,16.177,87.704,13.989,,,,,
196,07.23.25 03:00:00 AM,16.654,85.464,14.101,,,,,
197,07.23.25 04:00:00 AM,15.772,86.720,13.433,,,,,
198,07.23.25 05:00:00 AM,15.008,89.796,13.154,,,,,
199,07.23.25 06:00:00 AM,16.225,86.367,13.824,,,,,
200,07.23.25 07:00:00 AM,16.392,84.532,13.691,,,,,
201,07.23.25 08:00:00 AM,17.653,81.236,14.372,,,,,
202,07.23.25 09:00:00 AM,21.413,71.155,16.110,,,,,
203,07.23.25 10:00:00 AM,23.521,60.644,15.735,,,,,
204,07.23.25 11:00:00 AM,24.677,56.465,15.742,,,,,
205,07.23.25 12:00:00 PM,24.992,53.376,15.179,,,,,
206,07.23.25 01:00:00 PM,23.617,54.312,14.164,,,,,
207,07.23.25 02:00:00 PM,24.750,52.933,14.828,,,,,
208,07.23.25 03:00:00 PM,24.992,51.575,14.656,,,,,
209,07.23.25 04:00:00 PM,23.713,52.726,13.807,,,,,
210,07.23.25 05:00:00 PM,23.160,53.026,13.380,,,,,
211,07.23.25 06:00:00 PM,23.352,52.267,13.341,,,,,
212,07.23.25 07:00:00 PM,22.968,55.747,13.952,,,,,
213,07.23.25 08:00:00 PM,22.082,60.659,14.382,,,,,
214,07.23.25 09:00:00 PM,19.508,73.262,14.697,,,,,
215,07.23.25 10:00:00 PM,18.081,77.799,14.176,,,,,
216,07.23.25 11:00:00 PM,18.033,78.156,14.195,,,,,
217,07.24.25 12:00:00 AM,18.081,77.630,14.145,,,,,
218,07.24.25 01:00:00 AM,17.415,80.405,13.993,,,,,
219,07.24.25 02:00:00 AM,16.153,83.330,13.257,,,,,
220,07.24.25 03:00:00 AM,15.700,83.338,12.813,,,,,
221,07.24.25 04:00:00 AM,14.673,87.158,12.416,,,,,
222,07.24.25 05:00:00 AM,14.146,88.630,12.122,,,,,
223,07.24.25 06:00:00 AM,15.223,87.342,12.989,,,,,
224,07.24.25 07:00:00 AM,17.724,80.807,14.366,,,,,
225,07.24.25 08:00:00 AM,20.174,75.754,15.828,,,,,
226,07.24.25 09:00:00 AM,21.246,67.734,15.223,,,,,
227,07.24.25 10:00:00 AM,21.270,70.571,15.850,,,,,
228,07.24.25 11:00:00 AM,21.939,69.812,16.333,,,,,
229,07.24.25 12:00:00 PM,24.291,60.429,16.408,,,,,
230,07.24.25 01:00:00 PM,23.400,62.548,16.087,,,,,
231,07.24.25 02:00:00 PM,24.412,60.817,16.619,,,,,
232,07.24.25 03:00:00 PM,18.723,85.752,16.189,,,,,
233,07.24.25 04:00:00 PM,20.222,87.360,17.933,,,,,
234,07.24.25 05:00:00 PM,22.513,78.838,18.689,,,,,
235,07.24.25 06:00:00 PM,22.082,79.745,18.437,,,,,
236,07.24.25 07:00:00 PM,21.103,86.220,18.615,,,,,
237,07.24.25 08:00:00 PM,19.413,87.906,17.222,,,,,
238,07.24.25 09:00:00 PM,18.818,86.976,16.484,,,,,
239,07.24.25 10:00:00 PM,18.010,89.945,16.155,,,,,
240,07.24.25 11:00:00 PM,17.296,89.288,15.346,,,,,
241,07.25.25 12:00:00 AM,16.987,91.133,15.322,,,,,
242,07.25.25 01:00:00 AM,16.344,90.894,14.647,,,,,
243,07.25.25 02:00:00 AM,15.796,92.314,14.314,,,,,
244,07.25.25 03:00:00 AM,15.485,92.446,14.024,,,,,
245,07.25.25 04:00:00 AM,14.888,93.339,13.559,,,,,
246,07.25.25 05:00:00 AM,14.433,93.950,13.193,,,,,
247,07.25.25 06:00:00 AM,14.577,94.919,13.474,,,,,
248,07.25.25 07:00:00 AM,16.082,94.011,14.847,,,,,
249,07.25.25 08:00:00 AM,18.509,88.288,16.389,,,,,
250,07.25.25 09:00:00 AM,20.793,79.472,17.128,,,,,
251,07.25.25 10:00:00 AM,22.848,71.837,17.634,,,,,
252,07.25.25 11:00:00 AM,24.677,68.109,18.589,,,,,
253,07.25.25 12:00:00 PM,25.137,62.374,17.689,,,,,
254,07.25.25 01:00:00 PM,27.801,54.910,18.225,,,,,
255,07.25.25 02:00:00 PM,28.345,48.817,16.895,,,,,
256,07.25.25 03:00:00 PM,17.796,85.647,15.257,,,,,
257,07.25.25 04:00:00 PM,17.272,92.872,15.867,,,,,
258,07.25.25 05:00:00 PM,18.010,93.824,16.743,,,,,
259,07.25.25 06:00:00 PM,19.770,88.914,17.737,,,,,
260,07.25.25 07:00:00 PM,19.460,89.948,17.595,,,,,
261,07.25.25 08:00:00 PM,19.222,89.432,17.278,,,,,
262,07.25.25 09:00:00 PM,18.818,85.390,16.223,,,,,
263,07.25.25 10:00:00 PM,17.986,90.207,16.172,,,,,
264,07.25.25 11:00:00 PM,17.867,89.749,15.983,,,,,
265,07.26.25 12:00:00 AM,17.724,91.583,16.123,,,,,
266,07.26.25 01:00:00 AM,17.986,89.052,15.992,,,,,
267,07.26.25 02:00:00 AM,17.272,92.793,15.855,,,,,
268,07.26.25 03:00:00 AM,17.653,93.048,16.272,,,,,
269,07.26.25 04:00:00 AM,17.986,88.325,15.877,,,,,
270,07.26.25 05:00:00 AM,17.058,90.113,15.237,,,,,
271,07.26.25 06:00:00 AM,17.249,91.464,15.632,,,,,
272,07.26.25 07:00:00 AM,18.985,85.127,16.343,,,,,
273,07.26.25 08:00:00 AM,20.365,82.724,17.290,,,,,
274,07.26.25 09:00:00 AM,22.393,77.926,18.400,,,,,
275,07.26.25 10:00:00 AM,22.489,78.662,18.633,,,,,
276,07.26.25 11:00:00 AM,24.677,70.585,19.130,,,,,
